anime_id,title,title_english,source,episodes,score,scored_by,rank,popularity
24911,Kyonyuu Try!: Tanki Shuuchuu Chichi Momi Lesson,,Visual novel,1,6.98,961,,6144
12291,Acchi Kocchi (TV),Place to Place,4-koma manga,12,7.61,81329,1318,459
29311,Shousei Shikisai Gensou,Begone Bell Care; Begone Dull Care,Unknown,1,4.74,173,9243,10305
6226,Utawarerumono Recaps,,Unknown,2,6.56,903,5394,5852
3363,RD Sennou Chousashitsu,,Original,26,7.19,4338,2871,2719
3720,Jack to Mame no Ki,Jack and the Beanstalk,Unknown,1,6.64,470,5012,8447
32026,Osomatsu-san Special,Mr. Osomatsu Episode 3.5: Virgin Heroes,Manga,1,7.55,4142,1503,4034
29861,Channel 5.5 3rd Season Prologue,,Unknown,1,5.52,52,8337,10863
27603,Jutaijima,,Visual novel,2,6.79,1522,,5417
6331,Ten Little Gall Force,,Original,1,6.29,351,6450,8488
6270,Neko Machi,Cat City,Unknown,1,6.45,92,5807,8581
1685,Duel Masters,,Manga,26,5.91,8628,7537,3003
28759,Harbor Tale,Harbor Tale: a red brick,Unknown,1,6.83,12,10350,12918
28171,Shokugeki no Souma,Food Wars! Shokugeki no Soma,Manga,24,8.55,356271,85,54
34078,Ukkari Pénélope (2013),,Picture book,13,6,11,12563,13255
6748,Yoku Wakaru Gendai Mahou: Cruncha Cruncha Cruncha,,Light novel,1,6.69,2876,4826,4772
28805,Bakemono no Ko,The Boy and the Beast,Original,1,8.5,90673,102,482
2654,Doraemon Movie 22: Nobita to Tsubasa no Yuusha-tachi,Doraemon the Movie: Nobita and the Winged Braves,Unknown,1,7.39,980,2065,7089
28561,Saru Tarou Jishin ni wa Makenai zo!: Jishin e no Sonae Dai Sakusen,,Unknown,1,8.17,6,11969,13674
9340,Cheburashka,,Book,1,7.43,254,1884,8872
3595,Kujakuou,Spirit Warrior,Unknown,3,6.07,368,7172,7819
28725,Kokoro ga Sakebitagatterunda.,The Anthem of the Heart,Original,1,8.18,59717,334,659
33048,Zegapain ADP,,Original,1,6.18,90,6845,6585
34796,Servamp: Hai ni Mamireta Shoukei - All the world&#039;s a stage,,Unknown,1,7.17,574,2940,4602
22393,Sora e,,Unknown,1,5.86,51,7678,11841
3646,Glass no Usagi,Glass Rabbit,Unknown,1,6.8,452,4313,7536
6133,Violence Gekiga Shin David no Hoshi: Inma Densetsu,,Unknown,1,5.31,67,,10510
845,Kiba,Kiba,Original,51,7.4,24016,2029,1421
29851,Nekoronde Mite ne.,,Unknown,14,4.15,20,11444,13280
6444,Tegamibachi,Tegami Bachi: Letter Bee,Manga,25,7.72,31604,1072,998
1823,Shin Hakkenden,,Unknown,26,7.28,1343,2504,5626
422,Stratos 4 OVA,,Unknown,2,6.84,1072,4171,6451
16778,Gold Pencil And Alien Boy,,Unknown,1,2.66,41,10253,12046
36318,Quanzhi Fashi 2nd Season,,Novel,12,6.65,6545,4984,3031
31704,One Punch Man: Road to Hero,,Web manga,1,7.83,87098,832,578
5209,Manin Densha,,Visual novel,3,6.44,1192,,5457
16524,Suisei no Gargantia,Gargantia on the Verdurous Planet,Original,13,7.6,119215,1364,337
8705,Phantom: Requiem for the Phantom Picture Drama,,Visual novel,12,6.78,1299,4416,4779
35145,Kobayashi-san Chi no Maid Dragon Specials,Miss Kobayashi&#039;s Dragon Maid Specials,Manga,7,7.35,15113,2239,1865
5644,"Sora no Iro, Mizu no Iro Ero Specials",,Visual novel,2,6.85,694,,6631
10368,Teleclub no Himitsu,Secret of Teleclub,Unknown,2,5.33,52,,10797
15291,Hyakujitsu no Bara: Jinginaki Nikukyuu-hen,Maiden Rose Specials,Manga,2,7.04,2515,,4861
337,Psychic Academy,Psychic Academy,Manga,24,6.32,3746,6324,3910
450,InuYasha: Kagami no Naka no Mugenjo,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Manga,1,7.75,37581,991,1278
2445,Maple Colors,,Visual novel,2,6.44,1797,,5433
29941,Million Doll,Million Doll,Web manga,11,4.87,3428,9149,3800
230,Air Master,Air Master,Manga,27,7.1,10776,3192,2288
7718,Denshinbashira Elemi no Koi,Elemi,Unknown,1,6.27,524,6504,7189
2366,Touma Kishinden Oni,,Game,25,6.2,56,6764,9679
34740,Yareruko! Densha Ecchi,,Visual novel,2,6.84,913,,6773
35056,Tsuki no Mine no Ookami,,Original,1,7.6,5,12509,14003
6169,Tenjoubito to Akutobito Saigo no Tatakai,,Original,1,7.25,1972,2630,4518
36601,Moushin Soloist Life!,,Original,1,5.3,112,8691,11193
6862,K-On!: Live House!,,4-koma manga,1,7.87,53859,757,985
36995,Precure Super Stars! Movie,,Original,1,7.06,18,11820,8642
32014,Shimajirou to Ehon no Kuni,,Unknown,1,6.36,11,12052,12973
29673,Shin Tenchi Souzou,The Creation,Unknown,1,5.21,78,8817,11230
10258,Gokicha!!,Cockroach Girls,Manga,2,5.67,3828,8060,4022
1711,Ryuusei Sentai Musumet,,Unknown,13,5.99,554,7376,7184
2554,Ai Shoujo Pollyanna Story,,Novel,51,6.96,1178,3698,5921
19051,Imouto Paradise! 2,,Visual novel,2,7.23,3588,,3990
4714,The Rapeman,The Rapeman,Unknown,2,6.46,1621,,5357
32092,Juicy Jungle,,Music,1,4.92,56,9106,12748
28993,Hand Soap,,Unknown,1,4.65,153,9289,10003
60,Chrno Crusade,Chrono Crusade,Manga,24,7.76,78792,961,485
25839,Bonjour♪Koiaji Pâtisserie,Bonjour♪Sweet Love Patisserie,Game,24,6.34,14227,6213,2052
8171,One Piece Recap,One Piece Recap,Manga,1,7.31,5055,2399,3371
6055,F,,Unknown,31,6.95,283,3736,7851
35628,Honoo no Alpenrose: Ai no Symphony Ongaku-hen,,Manga,1,5,9,10494,13131
36748,Aurora wo Mita Kyouryuu-tachi,Dinosaurs Under Auroras,Original,1,4.88,8,9672,14074
33861,Nani no Yaku ni Mo Tatanai Karappona Hanashi,,Radio,2,3.46,26,11393,13416
30053,Bab Mook Ja,,Original,1,5.75,235,7893,9697
30954,Jakusansei Million Arthur,,Web manga,0,6.54,79,5452,8909
34601,Kubbe Gachapin Mukku,Kubbe Gachapin Mukku,Picture book,1,4.39,31,10990,12941
35530,Mayuge Dance,,Original,1,4.04,28,11199,13855
33064,Uchuu Senkan Yamato 2202: Ai no Senshi-tachi,,Original,0,8.1,792,441,3954
36157,Gokiburi Taisou,Cockroach Calisthenics,Original,1,4.85,130,9166,10792
6610,Ibara no Ou,King of Thorn,Manga,1,7.15,24459,3000,1559
30970,Jidou Bungaku Library,,Unknown,6,7.38,8,10625,13096
9949,Fuwa Aoyun Manyouji,Fuwa&#039;s Olympic Stories,Unknown,100,5.83,18,10149,12536
7436,Dragon Quest: Dai no Daibouken Tachiagare!! Aban no Shito,Dragon Quest Great Adventure of Dai! Disciple of Aban.,Game,1,6.69,290,4793,8358
34690,Eiyuu ni wa Narenai Bokura Dakara,,Original,5,5.69,26,10056,12912
33272,Nanocore 2016 Xinnian Tebie Ban,,Unknown,1,5.36,72,8594,11469
30014,Momokuri,momokuri,Web manga,26,7.23,15829,2689,1683
31691,San Mao Liu Lang Ji,Wanderings of Sanmao,Unknown,25,6.37,19,11945,13310
109,Bakuretsu Tenshi,Burst Angel,Original,24,6.9,23943,3897,1458
35784,Aozora,,Original,1,4.75,20,9634,13828
24447,Wagahai wa Inu de Aru: Don Matsugorou no Seikatsu,,Unknown,1,7,7,12623,12882
3593,Utawarerumono OVA,Utawarerumono OVA,Visual novel,3,7.28,7138,2509,3001
347,Wild Arms: Twilight Venom,Wild Arms,Game,22,6.72,2160,4681,4717
33836,Seiren,Seiren,Original,12,6.36,37611,6170,865
33845,Free! Movie 1: Timeless Medley - Kizuna,,Original,1,7.7,1564,1103,2793
19947,Ikkyuu-san (1978),,Unknown,26,7.4,35,10561,10766
1032,Kumo no You ni Kaze no You ni,"Like the Clouds, Like the Wind",Novel,1,6.95,2098,3741,5049
863,Joshikousei: Girl&#039;s High,High School Girls,Manga,12,6.65,11291,4969,2283
2596,Shinreigari: Ghost Hound,Ghost Hound,Original,22,7.54,30244,1537,910
67,Basilisk: Kouga Ninpou Chou,Basilisk,Manga,24,7.66,54467,1190,669
2384,Yakusai Kochou,Demon Fighter Kocho,Manga,1,5.55,574,8294,7816
35635,Mon-Soni! D&#039;Artagnan no Idol Sengen,MSonic!,Game,5,5.89,286,7597,7884
35912,Qingwa Wangguo,Frog Kingdom,Original,1,4.13,8,11853,14030
32829,Nobunaga no Shinobi,Ninja Girl & Samurai Master,4-koma manga,26,7.09,5764,3238,3112
1343,Violence Jack: Hell&#039;s Wind-hen,Violence Jack: Hell&#039;s Wind,Unknown,1,5.61,2328,8182,5222
35814,Granblue Fantasy The Animation: Kabocha no Lantern,,Game,1,6.7,1386,4755,4188
22037,Sore Ike! Anpanman: Dokin-chan no Dokidoki Calendar,,Unknown,1,6,17,12195,12880
20033,Miss Monochrome: The Animation,,Original,13,6.48,16538,5691,1911
1787,Viper GTS,Viper GTS,Visual novel,3,7.09,4719,,3846
31370,Tonkatsu DJ Agetarou,,Manga,12,7.18,4234,2910,3788
4816,Gakuen 2,,Visual novel,2,6.45,897,,6095
15633,Code:Breaker OVA,,Manga,3,6.87,9073,4027,2549
22573,Kero Kero Keroppi no Aladdin to Mahou no Lamp,Keroppi in Aladdin and the Magic Lamp,Unknown,1,5.94,36,10829,12011
36983,Oshiri Tantei: Puputto Fumutto Kaiketsu Dance,Butt Detective: A Wind-Breaking Victory Dance,Picture book,1,5.11,50,8935,12894
26137,Afghanistan Paghman-mura no Monogatari: Boku no Mura ni Circus ga Kita,,Unknown,1,6.76,29,9541,11257
17263,Hanakappa Movie: Hana-sake! Pakkaan Chou no Kuni no Daibouken,,Unknown,1,6.5,10,10328,12341
22577,Pom Pom Purin no Kitakaze to Taiyou,Pom Pom Purin in the Northwind and the Sun,Unknown,1,5.58,26,11791,12501
10710,Houkago no Pleiades: Manner Movie,,Original,1,5.26,562,8750,6895
8331,Detective Conan Magic File 4: Osaka Okonomiyaki Odyssey,,Unknown,1,7.64,3559,1238,4104
14367,Tenshi na Konamaiki Specials,Cheeky Angel DVD Specials,Unknown,13,6.25,134,6599,9039
1676,Cosmo Warrior Zero,,Game,13,6.66,1196,4922,5788
35843,Gintama.: Porori-hen,Gintama.: Slip Arc,Manga,13,8.59,23130,71,1464
7026,Mado,,Original,1,4.63,341,9302,9261
1645,Herlock Saga: Nibelung no Yubiwa,Harlock Saga: The Ring of the Nibelung - The Rhein Gold,Unknown,6,6.85,1600,4104,5321
27519,Konna Watashitachi ga Nariyuki de Heroine ni Natta Kekka www (TV),,Unknown,12,5.43,44,10960,10390
15937,Monster Farm 5: Circus Caravan OVA - Kessei!! Orcoro Circus,,Game,1,5.66,108,8090,9754
12793,Yanbo Ninbo Tonbo,,Unknown,39,5.44,16,12739,12634
25431,Chain Chronicle: Short Animation,,Game,8,6.08,1962,7132,4291
